FIRE_NAME,DISCOVERY_DOY,DISCOVERY_DATE,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,CONT_DOY,CONT_DATE
GOOSE CRK,204,2449556.5,1994,Lightning,16000,41.8999,-114.2675,NV,209,2449561.5
RAIN,205,2449557.5,1994,Equipment Use,9654,40.6666,-116.0509,NV,207,2449559.5
DANN,202,2449919.5,1995,Lightning,22890,40.3833,-116.3676,NV,206,2449923.5
IZEN,259,2449976.5,1995,Lightning,23750,40.9166,-116.9009,NV,263,2449980.5
DIVISION,214,2450296.5,1996,Lightning,30450,41.6316,-114.3417,NV,223,2450305.5
GOLDQUARRY,227,2450309.5,1996,Lightning,5001,40.8332,-116.1509,NV,231,2450313.5
TUNNEL,227,2450309.5,1996,Lightning,6109,40.7333,-116.0009,NV,231,2450313.5
SUSIE,227,2450309.5,1996,Lightning,12290,40.8332,-116.0509,NV,231,2450313.5
OREGON,239,2450321.5,1996,Lightning,10026,41.3166,-116.8843,NV,247,2450329.5
BOBS FLAT,239,2450321.5,1996,Lightning,27972.2,40.6666,-116.3676,NV,245,2450327.5
FRENCHIE,254,2450336.5,1996,Lightning,29135,40.5274,-116.2579,NV,257,2450339.5
BOULDER V,235,2451048.5,1998,Equipment Use,7521,40.8832,-116.6176,NV,237,2451050.5
BLACK MTN,242,2451055.5,1998,Lightning,10570,41.2916,-114.6992,NV,246,2451059.5
CLOVER,189,2451367.5,1999,Equipment Use,73077,41.1427,-116.9243,NV,193,2451371.5
RAIN,199,2451377.5,1999,Miscellaneous,21729,40.6441,-116.0137,NV,202,2451380.5
WAGON BOX,200,2451378.5,1999,Lightning,21623,41.8488,-114.1125,NV,210,2451388.5
IZZENHOOD,216,2451394.5,1999,Lightning,28593,40.8699,-116.927,NV,221,2451399.5
FRENCHIE,216,2451394.5,1999,Lightning,54677,40.4035,-116.319,NV,218,2451396.5
HORSECREEK,216,2451394.5,1999,Lightning,14315,40.1977,-116.489,NV,218,2451396.5
PINEY,216,2451394.5,1999,Lightning,11000,40.0488,-116.4506,NV,223,2451401.5
SADLER,217,2451395.5,1999,Lightning,199288,40.1616,-116.0009,NV,223,2451401.5
ROSE,218,2451396.5,1999,Lightning,48479,40.6332,-116.3406,NV,228,2451406.5
WELCHES CR,231,2451409.5,1999,Lightning,10816,40.8427,-116.2937,NV,235,2451413.5
DIDOCOMPLE,231,2451409.5,1999,Lightning,15735,40.4938,-115.7759,NV,238,2451416.5
NOSCHOOL2,284,2451462.5,1999,Campfire,11271,41.5833,-114.2342,NV,287,2451465.5
MULE,159,2450241.5,1996,Lightning,17400,38.3333,-114.7508,NV,160,2450242.5
BOYD,159,2450241.5,1996,Railroad,5275,37.4,-114.5675,NV,165,2450247.5
MAYNARD,172,2450254.5,1996,Lightning,6607,37.1666,-114.9008,NV,179,2450261.5
SHOEMAKE,226,2450308.5,1996,Lightning,13800,37.3333,-114.2008,NV,245,2450327.5
TABLE,190,2450638.5,1997,Lightning,8400,38.2666,-114.3008,NV,215,2450663.5
RAINBOW,190,2451003.5,1998,Lightning,5132.1,38.9113,-115.1989,NV,190,2451003.5
BLUEGARDEN,149,2451327.5,1999,Lightning,10000,37.2558,-114.2622,NV,155,2451333.5
DELAMAR,198,2451376.5,1999,Lightning,22591,37.175,-114.9258,NV,201,2451379.5
MEADOW,209,2449196.5,1993,Miscellaneous,21686,37.15,-114.5508,NV,213,2449200.5
PASS,219,2449206.5,1993,Lightning,5954,37.2,-114.6675,NV,222,2449209.5
RATTLESNAK,179,2449531.5,1994,Lightning,5700,36.2167,-114.2175,NV,181,2449533.5
GREGERSON,182,2449534.5,1994,Lightning,43000,37.25,-114.8008,NV,188,2449540.5
DOENTS1,235,2449952.5,1995,Arson,5000,36.9333,-116.2175,NV,237,2449954.5
MOORE,212,2449564.5,1994,Lightning,24175,41.2999,-117.746,NV,214,2449566.5
PORPHYRY,241,2449593.5,1994,Debris Burning,6125,41.0966,-117.401,NV,243,2449595.5
BUFFALO,210,2449927.5,1995,Lightning,8600,40.4282,-117.5209,NV,212,2449929.5
BARBER CYN,259,2449976.5,1995,Lightning,7059,40.7202,-117.8996,NV,262,2449979.5
FLAT CR.,206,2450288.5,1996,Lightning,14440,41.7363,-117.7404,NV,209,2450291.5
ROCK HILL,206,2450288.5,1996,Lightning,5571,40.6621,-117.9757,NV,207,2450289.5
HUMBOLDT,225,2450307.5,1996,Lightning,18800,41.3413,-117.1215,NV,230,2450312.5
LITTLEVALL,225,2450307.5,1996,Lightning,5172,39.9052,-119.2179,NV,227,2450309.5
KINGS 2,239,2450321.5,1996,Lightning,13469,41.911,-118.3013,NV,244,2450326.5
GETCHELL,239,2450321.5,1996,Lightning,26598,41.2999,-117.2676,NV,247,2450329.5
DUTCH FLAT,239,2450321.5,1996,Lightning,67643,41.1332,-117.4843,NV,246,2450328.5
N CHIMNEY,239,2450321.5,1996,Lightning,16600,41.4891,-117.0637,NV,243,2450325.5
WMCAMT3,239,2450321.5,1996,Lightning,21367,41.0438,-117.9443,NV,243,2450325.5
BLOODRUN2,239,2450321.5,1996,Lightning,33665,41.1166,-117.7843,NV,244,2450326.5
COYOTE,239,2450321.5,1996,Lightning,5409,41.6055,-118.1852,NV,242,2450324.5
SPAULDING2,273,2450355.5,1996,Arson,10486,40.5896,-117.7093,NV,275,2450357.5
SENTINEL,197,2450645.5,1997,Powerline,8750,41.7363,-117.8757,NV,198,2450646.5
KEYSTONE,226,2451039.5,1998,Lightning,13708,40.8063,-118.0899,NV,230,2451043.5
SPAULDING,226,2451039.5,1998,Lightning,5988,40.5332,-117.801,NV,228,2451041.5
LANG SYNE,192,2451370.5,1999,Equipment Use,24340,40.4846,-117.6385,NV,197,2451375.5
DUNGLENCOM,216,2451394.5,1999,Lightning,22063,40.908,-117.8124,NV,225,2451403.5
G VALLEY 1,216,2451394.5,1999,Lightning,12450,40.5896,-117.5382,NV,222,2451400.5
CYANCO,216,2451394.5,1999,Lightning,10619,40.8507,-117.9946,NV,220,2451398.5
DENIO COM,216,2451394.5,1999,Lightning,72179,41.5374,-118.5949,NV,222,2451400.5
COSGRAVE,216,2451394.5,1999,Lightning,28918,40.7057,-118.0515,NV,216,2451394.5
SOMBRERO,216,2451394.5,1999,Lightning,80448.3,41.0682,-118.1676,NV,222,2451400.5
POKER BROW,216,2451394.5,1999,Lightning,231389,40.5857,-118.499,NV,232,2451410.5
JUNGO COM,216,2451394.5,1999,Lightning,23522.4,41.7524,-118.5524,NV,222,2451400.5
CHIMNEY,217,2451395.5,1999,Lightning,33581,41.4968,-117.0246,NV,221,2451399.5
ROCHESTER,217,2451395.5,1999,Lightning,13325,40.3166,-118.1676,NV,223,2451401.5
EUGENE,218,2451396.5,1999,Lightning,7224.3,40.7816,-118.1674,NV,226,2451404.5
LONE BUTTE,218,2451396.5,1999,Lightning,31624.7,41.0971,-117.3243,NV,219,2451397.5
TUNG HOUSE,235,2451413.5,1999,Lightning,6028.1,40.7493,-118.0515,NV,236,2451414.5
PASS CRK,236,2451414.5,1999,Lightning,8834,41.6499,-118.6335,NV,239,2451417.5
ARCHULETA,162,2450244.5,1996,Lightning,15356,36.9964,-107.0467,NM,173,2450255.5
HAYMEADOW,275,2448896.5,1992,Equipment Use,12000,32.4001,-105.8005,NM,278,2448899.5
ESCONDIDO,152,2449139.5,1993,Lightning,8900,32.1334,-105.8172,NM,157,2449144.5
MASHED O,152,2449139.5,1993,Lightning,14103,32.1501,-105.7839,NM,157,2449144.5
LINCH,160,2449147.5,1993,Lightning,27181,31.5334,-108.6506,NM,163,2449150.5
UVAS,167,2449154.5,1993,Lightning,11856,32.5501,-107.1672,NM,172,2449159.5
RANGE,192,2449179.5,1993,Lightning,9000,33.5501,-106.7339,NM,193,2449180.5
OSCURA,162,2449514.5,1994,Lightning,10000,33.8834,-106.0672,NM,164,2449516.5
ORGAN,178,2449530.5,1994,Lightning,13804,32.2834,-107.1672,NM,196,2449548.5
HAT,180,2449532.5,1994,Lightning,9000,32.0668,-105.9172,NM,199,2449551.5
LOVELACE,181,2449533.5,1994,Lightning,5200,33.9334,-105.9672,NM,190,2449542.5
BLACK,203,2449555.5,1994,Lightning,11500,33.5334,-106.8339,NM,205,2449557.5
GARCIA,127,2451305.5,1999,Lightning,23680,31.334,-108.8673,NM,130,2451308.5
JALTWO,154,2449141.5,1993,Equipment Use,19610,32.2168,-103.4505,NM,155,2449142.5
EPPERS,218,2449570.5,1994,Lightning,5847,33.8568,-104.8655,NM,219,2449571.5
RADIO,135,2449852.5,1995,Lightning,5940,33.8501,-104.9839,NM,136,2449853.5
ALVORD,180,2448801.5,1992,Debris Burning,7139,42.5832,-118.5344,OR,181,2448802.5
SKULL CR,207,2450289.5,1996,Lightning,5326.6,42.3999,-118.8294,OR,210,2450292.5
ROCKY FORD,212,2450294.5,1996,Lightning,10986.7,43.1702,-118.7841,OR,214,2450296.5
BUZZARD,212,2450294.5,1996,Lightning,7799.4,43.2202,-119.4397,OR,214,2450296.5
EAST EVANS,216,2448837.5,1992,Equipment Use,10135,42.4998,-123.1845,OR,225,2448846.5
CHICKEN SP,200,2448821.5,1992,Lightning,9980,45.0832,-121.0345,OR,206,2448827.5
FERRYCANYN,176,2449528.5,1994,Campfire,9006,45.3832,-120.5178,OR,185,2449537.5
SMITHCANYN,190,2449542.5,1994,Lightning,10400,45.4165,-120.8678,OR,196,2449548.5
NARROWS,205,2449557.5,1994,Lightning,7000,45.6498,-120.5178,OR,208,2449560.5
LITTLFERRY,207,2449559.5,1994,Lightning,10050,43.3999,-120.5011,OR,211,2449563.5
HORN BUTTE,214,2449566.5,1994,Lightning,7000,45.6499,-119.9845,OR,218,2449570.5
THIRTYMILE,216,2449568.5,1994,Lightning,13800,45.1665,-120.3345,OR,219,2449571.5
CINDERBTTE,243,2449960.5,1995,Smoking,5750,43.5999,-120.0678,OR,245,2449962.5
SKELETON,236,2450318.5,1996,Lightning,17739,43.9498,-121.1511,OR,236,2450318.5
THE BUTTES,220,2451033.5,1998,Miscellaneous,15000,44.9137,-120.54,OR,225,2451038.5
SWAMP CRK,214,2449566.5,1994,Lightning,44140,43.3665,-118.101,OR,221,2449573.5
IRONSIDE,240,2449592.5,1994,Lightning,10317,44.2674,-118.1688,OR,249,2449601.5
INDIAN FT,190,2449907.5,1995,Lightning,14000,42.6385,-117.5365,OR,192,2449909.5
BATTLE CR,209,2449926.5,1995,Lightning,15210,42.5665,-117.5676,OR,211,2449928.5
BOGUS CR,212,2450294.5,1996,Lightning,57160,43.0665,-117.6343,OR,216,2450298.5
CEDAR MT,224,2450306.5,1996,Lightning,6218,43.3188,-117.7149,OR,231,2450313.5
COW HLW,225,2450307.5,1996,Lightning,31295,43.8499,-117.2677,OR,230,2450312.5
BRN BT 2,226,2450308.5,1996,Lightning,8616,43.6754,-117.1221,OR,231,2450313.5
LIT OWYHEE,239,2450321.5,1996,Lightning,8967,42.9499,-117.6177,OR,241,2450323.5
CHINA GU,239,2450321.5,1996,Lightning,5985,42.7518,-117.6413,OR,241,2450323.5
HAT BU,239,2450321.5,1996,Lightning,13087,43.298379,-118.232451,OR,245,2450327.5
SOUTH TUB,219,2451032.5,1998,Lightning,6416,44.1638,-117.1602,OR,220,2451033.5
MILFORDBEN,211,2449563.5,1994,Lightning,10700,38.3666,-112.8675,UT,214,2449566.5
MILFORDPAS,189,2449906.5,1995,Lightning,9062.5,38.3614,-112.9116,UT,192,2449909.5
CEDAR POCK,211,2449928.5,1995,Lightning,12641.2,37.0478,-113.7627,UT,213,2449930.5
HONEY BOY,215,2450297.5,1996,Lightning,10476,38.3319,-112.9861,UT,228,2450310.5
CUNNINGHAM,231,2450313.5,1996,Lightning,14854,38.4344,-112.7255,UT,239,2450321.5
PAHCOON,173,2450986.5,1998,Debris Burning,6363,37.2011,-113.8516,UT,176,2450989.5
BULLDOG,178,2450991.5,1998,Equipment Use,6375,37.0066,-113.8441,UT,184,2450997.5
TRIANGLE,211,2449928.5,1995,Lightning,5343,38.9,-109.0507,UT,216,2449933.5
ANTELOPEMT,208,2449560.5,1994,Lightning,8600,38.6166,-112.8508,UT,218,2449570.5
TURKEY,222,2449939.5,1995,Lightning,9047,39.7166,-111.9174,UT,227,2449944.5
LAVA RIDGE,260,2449977.5,1995,Lightning,11453,38.7833,-112.6508,UT,265,2449982.5
LTL SAHARA,173,2450255.5,1996,Lightning,37923.4,39.7058,-112.2808,UT,181,2450263.5
TWIN,187,2450269.5,1996,Lightning,41862.7,38.6241,-112.6269,UT,198,2450280.5
CHERRY CK,193,2450275.5,1996,Lightning,11482.3,39.7333,-112.4008,UT,200,2450282.5
LEAMINGTON,214,2450296.5,1996,Lightning,28442,39.5011,-112.2244,UT,230,2450312.5
WASH,215,2450297.5,1996,Lightning,89148.9,39.628,-112.1191,UT,230,2450312.5
ERICCOMPLX,215,2450297.5,1996,Lightning,9995,39.7936,-112.3183,UT,218,2450300.5
EAST SAGE,215,2450297.5,1996,Lightning,18750,39.5211,-111.9927,UT,230,2450312.5
FLAT,196,2450644.5,1997,Lightning,5425,38.5664,-112.148,UT,200,2450648.5
GEORGE,199,2451012.5,1998,Lightning,7629.2,38.7839,-112.6136,UT,201,2451014.5
S RAILROAD,183,2451361.5,1999,Railroad,58707.4,39.66675,-112.28472,UT,183,2451361.5
WHITEROCKS,146,2449498.5,1994,Lightning,6500,40.3249,-112.8491,UT,147,2449499.5
SIMPSON BT,166,2449518.5,1994,Arson,7750,40.0499,-112.8508,UT,167,2449519.5
DAVIS MTN,167,2449519.5,1994,Arson,6500,40.1499,-112.7008,UT,168,2449520.5
ROUND TOP,171,2449523.5,1994,Miscellaneous,8000,40.1999,-112.7175,UT,172,2449524.5
POSTHOLLOW,183,2449535.5,1994,Lightning,13235,40.2999,-112.7841,UT,189,2449541.5
E HARKER,216,2449568.5,1994,Lightning,12837,39.9666,-112.4841,UT,223,2449575.5
PUDDLE VLY,220,2449937.5,1995,Lightning,30720,40.9849,-112.973,UT,224,2449941.5
REDLAM,239,2449956.5,1995,Miscellaneous,35000,40.6638,-112.9761,UT,243,2449960.5
DUGWAY 3,244,2449961.5,1995,Lightning,11610,40.2666,-112.8491,UT,247,2449964.5
SOLDIER PS,172,2450254.5,1996,Lightning,7620,40.2166,-111.9341,UT,185,2450267.5
SHEEP ROCK,174,2450256.5,1996,Lightning,9283,39.90848,-112.61989,UT,180,2450262.5
SILVERHILL,185,2450267.5,1996,Lightning,25000,40.9022,-112.9539,UT,187,2450269.5
DAVIS KNOL,190,2450272.5,1996,Lightning,28540,40.1333,-112.6675,UT,194,2450276.5
CAMP FLOYD,214,2450296.5,1996,Lightning,5542,40.2166,-112.2508,UT,216,2450298.5
TEDDY BEAR,217,2450299.5,1996,Miscellaneous,18540,40.1166,-112.7675,UT,222,2450304.5
DEATH RDG,251,2450333.5,1996,Miscellaneous,5000,41.1833,-112.8675,UT,252,2450334.5
TABBY MTN,257,2450339.5,1996,Lightning,5500,40.7999,-112.5008,UT,260,2450342.5
FAUST,184,2450997.5,1998,Miscellaneous,6550,40.2199,-112.2488,UT,189,2451002.5
TEKOI,194,2451007.5,1998,Equipment Use,20700,40.4686,-112.8291,UT,196,2451009.5
TOPLIFF,201,2451014.5,1998,Lightning,13926,40.1816,-112.2588,UT,204,2451017.5
RATTLESNAK,161,2448782.5,1992,Debris Burning,17627.8,46.4165,-120.1178,WA,162,2448783.5
ELEPHANT 2,167,2450249.5,1996,Equipment Use,5830,46.4999,-120.3345,WA,167,2450249.5
JUNIPER,181,2450263.5,1996,Equipment Use,8480,46.3665,-118.8678,WA,182,2450264.5
QUINCY,216,2450298.5,1996,Lightning,8450,47.2999,-119.9512,WA,216,2450298.5
COLD CREEK,227,2450309.5,1996,Miscellaneous,57520,46.5999,-119.9178,WA,231,2450313.5
LINCOLN,243,2450325.5,1996,Debris Burning,20080,47.4999,-118.7678,WA,245,2450327.5
POWWAHKEE,214,2450662.5,1997,Lightning,6500,46.3665,-117.301,WA,216,2450664.5
OLYMPIA ST,238,2450686.5,1997,Debris Burning,5500,46.1165,-119.0845,WA,240,2450688.5
SADDLE MTN,173,2450986.5,1998,Lightning,8300,46.7999,-119.6345,WA,176,2450989.5
RATTLESNAK,182,2450995.5,1998,Lightning,10880,46.4665,-120.1678,WA,183,2450996.5
CLEVELAND,208,2451021.5,1998,Lightning,18500,45.9665,-120.4345,WA,222,2451035.5
TOKIO,210,2451023.5,1998,Railroad,18120,47.2665,-118.3011,WA,211,2451024.5
BARREL SPR,234,2449586.5,1994,Lightning,13400,44.7666,-106.5339,WY,237,2449589.5
GEARY D. 2,215,2450297.5,1996,Lightning,14700,42.8833,-106.1339,WY,217,2450299.5
BONER,248,2450330.5,1996,Lightning,53930,42.9,-105.6672,WY,249,2450331.5
COLE CREEK,274,2450356.5,1996,Equipment Use,9290,42.9166,-106.1672,WY,275,2450357.5
CLARKELEN,304,2451482.5,1999,Powerline,20000,43.8803,-105.6367,WY,305,2451483.5
BATES,238,2450320.5,1996,Lightning,38858,43.55,-107.5673,WY,243,2450325.5
EBLACK MTN,238,2450320.5,1996,Lightning,48843.6,43.65,-107.734,WY,242,2450324.5
MOOSE CRK1,154,2449141.5,1993,Lightning,11249,63.6828,-151.0856,AK,246,2449233.5
BOX CANYON,169,2451347.5,1999,Lightning,6476,32.16982,-110.6784,AZ,,
ADAIR #2,224,2449576.5,1994,Lightning,8055,48.74367,-114.06689,MT,334,2449686.5
MCDONALD CREEK,242,2451055.5,1998,Lightning,8758,48.81099,-113.90627,MT,,
ANACONDA,218,2451396.5,1999,Lightning,10812,48.64516,-114.128,MT,,
PINE,128,2449115.5,1993,Children,6510,31.89611,-104.82667,TX,131,2449118.5
MARCUS,159,2449511.5,1994,Lightning,6250,31.98053,-104.88544,TX,167,2449519.5
POTTER 1,83,2450165.5,1996,Missing/Undefined,13000,35.5367,-101.7744,TX,83,2450165.5
FRITCH2,92,2450905.5,1998,Missing/Undefined,20000,35.6075,-101.66,TX,93,2450906.5
PALO DORO,180,2450993.5,1998,Miscellaneous,5000,35.5617,-101.6833,TX,182,2450995.5
WILDCAT,203,2450285.5,1996,Lightning,5830,37.34194,-113,UT,212,2450294.5
ROBINSON,252,2449604.5,1994,Lightning,8482,44.21659,-111.08411,ID,287,2449639.5
COVINGTON,212,2449929.5,1995,Lightning,5521,34.05841,-116.30474,CA,216,2449933.5
JUNIPER,147,2451325.5,1999,Lightning,14000,34.00251,-116.29584,CA,154,2451332.5
VISION,276,2449993.5,1995,Campfire,12354,38.0831,-122.875,CA,289,2450006.5
GREENMEADO,299,2449286.5,1993,Arson,38152,34.1667,-118.8676,CA,308,2449295.5
CALABASAS,295,2450377.5,1996,Powerline,13190,34.1333,-118.6843,CA,304,2450386.5
N PARKCPLX,222,2451400.5,1999,Lightning,11705.4,37.9308,-119.6149,CA,,
E112,94,2449811.5,1995,Equipment Use,5948,25.434908,-80.655906,FL,126,2449843.5
SADDLE,214,2453584.5,2005,Lightning,121149,62.1167,-159.15,AK,244,2453614.5
GAGARYAH 2,184,2455015.5,2009,Lightning,19690,61.6528,-155.3783,AK,229,2455060.5
BIG RIVER,186,2455017.5,2009,Lightning,33262,62.2794,-154.7431,AK,249,2455080.5
ANTIOCH,331,2453701.5,2005,Miscellaneous,7000,34.7189,-97.3819,OK,335,2453705.5
RATLIFFCIT,12,2453747.5,2006,Miscellaneous,19200,34.4486,-97.4972,OK,21,2453756.5
BIA EMPIRE,60,2453795.5,2006,Miscellaneous,8000,34.4722,-97.9594,OK,61,2453796.5
BIALOCO,61,2453796.5,2006,Equipment Use,7880.3,34.3006,-97.6794,OK,65,2453800.5
BRUSHY MOUNTAIN FIRE,99,2454930.5,2009,Debris Burning,8000,34.0608,-97.3392,OK,105,2454936.5
PROCTOR,321,2453691.5,2005,Arson,7680,35.2269,-95.975,OK,323,2453693.5
BEARDEN,331,2453701.5,2005,Debris Burning,9429,35.3522,-96.3703,OK,333,2453703.5
HANNA,331,2453701.5,2005,Arson,5121,35.3333,-95.8625,OK,334,2453704.5
FLATROCKCO,331,2453701.5,2005,Miscellaneous,5120,36.1292,-95.3147,OK,331,2453701.5
DRIPPNGSPR,331,2453701.5,2005,Arson,9080,35.6008,-96.108,OK,335,2453705.5
SHAMROCK,1,2453736.5,2006,Arson,5000,35.9392,-96.603,OK,1,2453736.5
WAINWRIGHT,1,2453736.5,2006,Arson,8080,35.6625,-95.603,OK,1,2453736.5
PRAGUE,1,2453736.5,2006,Arson,16423,35.5758,-96.5644,OK,2,2453737.5
ARLINGTON,1,2453736.5,2006,Arson,14000,35.5494,-96.1608,OK,3,2453738.5
BIGELK,1,2451544.5,2000,Fireworks,7320,36.3765,-96.2922,OK,2,2451545.5
BOAR CREEK,286,2451829.5,2000,Arson,5760,36.2709,-96.332,OK,287,2451830.5
HULAH2,87,2452361.5,2002,Debris Burning,8000,36.9162,-96.1211,OK,90,2452364.5
CEDAR CREE,50,2453054.5,2004,Miscellaneous,5500,36.767,-96.2831,OK,51,2453055.5
CHAMBERS,74,2453809.5,2006,Miscellaneous,5498,36.7569,-96.1628,OK,74,2453809.5
WILD HORSES,311,2454776.5,2008,Powerline,6325,36.635,-96.6353,OK,311,2454776.5
PEACH ORCHARD,76,2454907.5,2009,Arson,10216,36.3544,-96.3108,OK,83,2454914.5
PRETTY PENNY,78,2454909.5,2009,Arson,6000,36.7083,-96.1361,OK,85,2454916.5
CABINESS,312,2453682.5,2005,Miscellaneous,17299,35.2161,-96.1858,OK,320,2453690.5
PINESPRING,361,2453731.5,2005,Miscellaneous,6400,34.3914,-95.7969,OK,362,2453732.5
ACHILLE,363,2453733.5,2005,Arson,10000,33.8662,-96.3733,OK,365,2453735.5
NEW YEAR,1,2453736.5,2006,Arson,6750,34.6894,-95.5525,OK,2,2453737.5
LITTLERIV2,361,2453731.5,2005,Miscellaneous,6122,35.0725,-96.5953,OK,364,2453734.5
FTMANUEL,263,2451806.5,2000,Miscellaneous,5300,45.9233,-100.5326,SD,263,2451806.5
TRIBLE,295,2451838.5,2000,Miscellaneous,12000,45.92,-100.5393,SD,296,2451839.5
KRAFT-COM.,180,2452454.5,2002,Lightning,10420.7,46.1219,-101.1662,ND,195,2452469.5
TENBROOK,186,2452460.5,2002,Arson,15732.2,46.0522,-101.2601,ND,199,2452473.5
STONE MAN CHURCH,199,2453934.5,2006,Lightning,10691,45.6344,-101.231,SD,204,2453939.5
LUND,199,2453934.5,2006,Lightning,9499,46.0961,-100.8007,ND,205,2453940.5
LIGHTNING COMPLEX,209,2453944.5,2006,Lightning,8060,45.6889,-100.966,SD,215,2453950.5
GENO H.,293,2451836.5,2000,Equipment Use,9431.4,44.7042,-101.4879,SD,293,2451836.5
LAPLANTE,180,2452454.5,2002,Fireworks,14223.8,45.1422,-100.6499,SD,182,2452456.5
PEPPER CR.,246,2451789.5,2000,Lightning,8599.1,43.1783,-102.5699,SD,259,2451802.5
NO FLESH,256,2451799.5,2000,Smoking,5700,43.4269,-102.1368,SD,256,2451799.5
DECKER,261,2451804.5,2000,Lightning,10226,43.2978,-102.2454,SD,266,2451809.5
COTTONWOOD,215,2452489.5,2002,Debris Burning,6655.6,43.4055,-102.2935,SD,219,2452493.5
WANNA,230,2452504.5,2002,Children,7505,43.2797,-102.8018,SD,230,2452504.5
GOOD FIRE,222,2453957.5,2006,Lightning,5700,43.4419,-101.5983,SD,222,2453957.5
RED WATER,224,2453959.5,2006,Lightning,7500,43.4981,-102.1506,SD,229,2453964.5
STAMPEDE,188,2454288.5,2007,Fireworks,22454,43.0419,-102.6542,SD,195,2454295.5
RL208,77,2451620.5,2000,Miscellaneous,5120,47.925,-95.3947,MN,77,2451620.5
RL215,119,2452028.5,2001,Arson,13820,48.1061,-95.5347,MN,119,2452028.5
RL13,96,2452370.5,2002,Miscellaneous,7455,47.9577,-95.3872,MN,96,2452370.5
RL468,135,2452409.5,2002,Miscellaneous,8480,47.8713,-95.42,MN,135,2452409.5
RL257,99,2452738.5,2003,Debris Burning,38753,48.1225,-95.5294,MN,101,2452740.5
RL304,99,2452738.5,2003,Debris Burning,19782,47.9727,-95.2789,MN,100,2452739.5
RL005,101,2454201.5,2007,Arson,5157,48.1217,-95.3303,MN,101,2454201.5
NAVAJO MOUNTAIN 1,161,2453896.5,2006,Lightning,5151,37.0569,-110.8579,UT,238,2453973.5
VANDERBURG,216,2451759.5,2000,Lightning,8000,47.3149,-114.5698,MT,254,2451797.5
CLEARDIVID,217,2451760.5,2000,Lightning,12000,47.3883,-114.6307,MT,253,2451796.5
SEEPAY#2,240,2453610.5,2005,Miscellaneous,8500,47.3472,-114.641,MT,268,2453638.5
JOCKO LAKES,215,2454315.5,2007,Lightning,36388,47.1894,-113.7315,MT,278,2454378.5
LOG SPRING,207,2453211.5,2004,Children,13539,45.0215,-121.4531,OR,230,2453234.5
BIDDLE PASS,193,2454293.5,2007,Lightning,11710,44.6881,-121.6844,OR,278,2454378.5
BUFFALO LK,219,2451762.5,2000,Miscellaneous,9286,48.0107,-118.8934,WA,236,2451779.5
VIRGINIA L,225,2452134.5,2001,Lightning,36775,48.2749,-119.5734,WA,259,2452168.5
ST MARY'S,226,2452135.5,2001,Smoking,32960,48.3457,-119.4387,WA,259,2452168.5
RATTLESNAK,185,2452824.5,2003,Arson,10500,47.8524,-118.4294,WA,194,2452833.5
HOPKINS CA,178,2453182.5,2004,Lightning,5072,48.149,-119.1684,WA,187,2453191.5
W OMAK LK,193,2453563.5,2005,Equipment Use,11330,48.2417,-119.3908,WA,198,2453568.5
SOUTH OMAK LAKE,242,2454342.5,2007,Arson,10500,48.2189,-119.3811,WA,252,2454352.5
MANILA CREEK,253,2454353.5,2007,Arson,26805,48.02,-118.7811,WA,267,2454367.5
COLUMBIA RIVER ROAD,220,2454685.5,2008,Arson,22155,48.1386,-119.1719,WA,234,2454699.5
RANGE,175,2451718.5,2000,Debris Burning,10323,46.30769,-120.3144,WA,177,2451720.5
MULE DRY,236,2451779.5,2000,Lightning,46802,46.0812,-120.3853,WA,241,2451784.5
PUMPHOUSE,194,2452468.5,2002,Miscellaneous,10367,46.3165,-120.6262,WA,197,2452471.5
VIEJAS,3,2451912.5,2001,Smoking,10353,32.7792,-116.8342,CA,7,2451916.5
FOX CREEK,192,2452466.5,2002,Lightning,6300,48.7833,-113.3009,MT,218,2452492.5
PARDUE,292,2452931.5,2003,Miscellaneous,8000,48.6355,-112.6495,MT,293,2452932.5
PEASE,239,2451782.5,2000,Debris Burning,5000,45.7311,-108.2935,MT,256,2451799.5
BIGHORN,197,2453567.5,2005,Lightning,5800,45.1622,-108.1283,MT,205,2453575.5
OWL,207,2453942.5,2006,Equipment Use,5273,45.1644,-107.2539,MT,214,2453949.5
HOWARD,210,2453945.5,2006,Lightning,5154,48.2925,-108.5574,MT,210,2453945.5
GREYBULL,228,2452867.5,2003,Equipment Use,6836,48.2303,-105.3878,MT,229,2452868.5
BUFFALO RANCH,205,2453940.5,2006,Lightning,5555,48.3611,-105.3142,MT,206,2453941.5
LITTLEHAWK,224,2452863.5,2003,Lightning,25490,45.6314,-107.0153,MT,236,2452875.5
CRAIG II,226,2452865.5,2003,Lightning,9180,45.6247,-106.4711,MT,241,2452880.5
KATES BASIN,220,2451763.5,2000,Lightning,137069,43.3025,-108.5921,WY,241,2451784.5
SOUTHFRKII,181,2452455.5,2002,Lightning,15000,42.95,-109.1326,WY,196,2452470.5
KIMBALRANC,71,2453441.5,2005,Debris Burning,5430,34.8017,-98.545,OK,73,2453443.5
NUMBER 5#2,82,2452356.5,2002,Miscellaneous,16422,33.2837,-105.5147,NM,88,2452362.5
